,P_ID,CategoryID,Catalog_No,ChemicalName,CatChemicalName,Cas,Pack1,Price1,Pack2,Price2,Pack3,Price3,Pack4,Price4,Pack5,Price5,Pack6,Price6,LocDelhiNote,DelhiStock,LocAhmedabadNote,AhmedabadStock,LocBangaloreNote,BangaloreStock,Status,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,HotProduct,CategoryName,char,tags
0,244772,None,SPT-WQY00TXGL,"Alloxan monohydrate, 98%",None,2244-11-3,25 gm,680,,,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['alloxan monohydrate, 98%', '2244-11-3']"
1,244767,None,SPT-NWN2EL9GL,"Acenaphthenequinone, 95%",None,82-86-0,25 gm,4250,100 gm,11200,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['acenaphthenequinone, 95%', '82-86-0']"
2,244766,None,SPT-R8P1Z81GL,"Aluminum oxide, neutral",None,1344-28-1,500 gm,420,,,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['aluminum oxide, neutral', '1344-28-1']"
3,244758,None,SPT-8B23L0LGL,"Ammonium sulfate, 98%",None,7783-20-2,500 gm,170,5 Kg,1000,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['ammonium sulfate, 98%', '7783-20-2']"
4,244757,None,SPT-YFT72MZGL,"Ammonium dihydrogenphosphate,LR 98%",None,7722-76-1,100 gm,180,500 gm,360,5 Kg,2850,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['ammonium dihydrogenphosphate,lr 98%', '7722-76-1']"
5,244756,None,SPT-PZDLD0LGL,"Ammonium chloride, 98%",None,12125-02-9,500 gm,230,1 Kg,330,5 Kg,1450,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['ammonium chloride, 98%', '12125-02-9']"
6,244747,None,SPT-RDB8QXHGL,"Acenaphthene, 99%",None,83-32-9,100 gm,500,500 gm,2000,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['acenaphthene, 99%', '83-32-9']"
7,244744,None,SPT-XBGQZ3PGL,"Acetic acid, 99%",None,64-19-7,1 Lt,370,2.5 Lt,800,25lt,POR,500 ml,210,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['acetic acid, 99%', '64-19-7']"
8,244733,None,SPT-LKTC18DGL,"Aminoguanidine hydrogen carbonate, 98%",None,2582-30-1,100 gm,300,500 gm,1100,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['aminoguanidine hydrogen carbonate, 98%', '2582-30-1']"
9,244729,None,SPT-PXR1J57GL,"Allyl chloroformate, 95% (Custom work)",None,2937-50-0,5 gm,POR,,,,,,,,,,,,,,,,,False,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,None,None,A,"['allyl chloroformate, 95% (custom work)', '2937-50-0']"
